"clinicId", "clinicName"
10780, Medical Experts of Texas
10781, Cooperative Health
10783, Transitions Birth Center
10787, JMJ Family Practice
10788, JOSEPH C. BARBARA, M.D.
10789, Curtis Bazemore MD PC DBA Encompass
10790, Pediatric and Adolescent Gastroente
10792, My Doctor Pediatrics & Urgent Care
10795, Nader Al Sayyed Ahmad, M.D., Inc.
10796, Central Texas Eye Clinic
10798, Venus Cosmetic Surgery
10801, Atlanta Gynecology Naomi Akita, MD
10802, Advantage Orthopedic & Sports Medicine
10825, Neurology, Psychiatry, and Balance Therapy Center
10827, Central Massachusetts Podiatry, P.C
10828, Bray Family Medicine
10829, Swenson Foot & Ankle, P.C.
10834, Atlantic Biotech
10855, Jennifer G Jose MD LLC
10865, Healthcare Network
10866, Tristate Gastroenterology Associates
10868, John C. Westerkamm,MD, PLLC
10870, Elmhurst Podiatry Center
10871, Frankenmuth Medical Associates
10878, Castle Hills Family Practice
10901, Snowy Range Health Center
10911, DAVID L CONNER DBA AROOSTOOK WELLNESS
10915, EDDIE DAVIS, DPM, PLLC
10921, Allergy & Asthma Associates
10933, Connecticut Neurosurgery Consultant
10947, Azan Medical PA
10948, David L Principe MD
10949, ABILENE PRIMARY CARE GROUP, PLLC
10957, Heritage Hills Family Medicine P.C.
10958, Alaska Women's Health
10961, Rodolfo E Fernandez MD PA
10964, The Good Samaritan Center
10966, AHF Kinder
10967, Alamo Ranch Integrative Medicine
10972, Chenevert Family Care Clinic
10974, Cardiovascular Clinic of Covington
10977, AASWC Allergy Asthma Sinus Wellness Center
10978, Boulder Valley Foot & Ankle Clinic,
10980, NuAdvance Orthopedics, PLLC
10981, Greater Orange Foot Care
10982, Bellevue Behavioral Solutions
10984, Wafaa Alrashid M.D., Inc
10985, Dr. Mimi Johnson
10986, Michigan Vein Care Specialists
10987, REBECCA KERR MD
10989, MARIN RETINA
10991, CareWell Urgent Care
11000, Riverside Pediatrics
11001, PRIME - DALLAS PHYSICIANS MED GROUP
11002, Barbara S Rickards DPM
11008, Gynecology Today PLLC
11010, Eric Frechette, MD
11015, MCA
11016, St Marys/St Joseph
11022, Family Healthcare Of Fairfax PC
11027, Bee Caves Pediatrics
11031, SAN DIEGO PODIATRY GROUP
11034, Lanza's Medical Center, LLC
11036, Jerry W. Miller, MD, PA
11041, Cardiacare Center, P.C. / Medical Specialties of New Jersey
11042, Neptune Adult Medicine
11045, STOWE NATURAL FAMILY WELLNESS PLLC
11046, Foot and Ankle Health Centers
11049, Geriatric & Family Care Center of South Florida
11052, MS and Neuromuscular Center of Excellence Dr. Schneider
11053, Alkarim Medical Clinic
11057, EYE CARE CENTER OF KAUAI, INC.
11058, Olde Towne Pediatrics
11061, Restoration Healthcare, Inc.
11064, Dr. Walter M. Snihurowych, MD
11065, Peter Ramzy MD PLLC
11067, The Bailey Medical Group, P.C.
11071, Center For Womens Health
11076, The Healthy Woman
11084, Nash OB-GYN Associates PA
11085, Northwest Urology
11087, Access Physicians Telemedicine
11094, Benjamin N Mena MD PA
11095, Alex J. Urteaga DPM, PA DBA Foot &
11102, DM Foot And Ankle Associates, LLC
11105, 
11111, Heart Associate of Hilton Head PC
11114, Anthem-Epoch Southern Arizona
11123, Catalyst Walk-In Clinic
11124, McLean County Foot and Ankle
11126, FRIENDLY FOOT CARE
11128, Mount Carmel
11129, Rancho Family Medical Group
11132, Memorial Podiatry, PLLC
11136, Richmond Spine Interventions & Pain Center, PC
11137, South River Internal Medicine
11138, Dominion Cardiovascular Associates
11141, Agape Family Healthcare LLC
11145, Spencer Wellness Centre
11153, Restoring Health Clinic
11154, Diabetic Eye DC
11161, Missouri Foot & Ankle
11162, Elderhealth & Living Corporation
11166, North Haven Medical Clinic
11169, Clark Heart and Vascular Center
11172, Mary-Anne Ost MD
11173, Wolfsdorf Raszynski Sussmane MD PA
11179, ATX Orthopedics
11181, Rosita Villanueva, M.D.
11182, AIM Primary Care
11185, Katharine R Cooper MD PC
11188, Total Care Family Practice
11189, Valley Family Care
11190, Southern Tier Podiatry
11192, Right Path Pain and Spine Center
11194, Health Partners, Inc
11195, LARGO FOOT & ANKLE HEALTH CENTER AN
11196, Lab C
11197, Danville Sports Medicine and Primar
11198, Neurology & Headache Center, INC.
11199, SpineZone Medical Fitness
11202, James Bauer, MD
11203, Garden State Retina Associates, LLC
11205, Rock Harbor Health
11207, Cognitive Strategies LLC
11208, Resilient Health
11209, National University of Health Sciences
11210, Ijeoma Nnamani MD, P.A.
11212, Pediatric Associates
11214, Pain Partners of Texas, PLLC
11216, Lakewood Medical Associates, LLC
11218, FIT Health Care, PLC
11225, Vulcan Pain Management
11227, Franconia Pediatrics
11228, Aiken Neurosciences, PC
11229, Cedar Creek Family Medicine
11230, Alder Health Services
11231, Niloufer S. Dennis MD
11232, Lydia A Fusetti MD
11234, College Hill OB/GYN
11238, Concho Valley OB/GYN, PA
11240, Child & Adolescent Health Care, LLC
11241, Anne Arundel Eye Center
11242, Nephrology & Hypertension Associates of Alaska
11243, Fairfax Internal Medicine, P.C.
11246, Country Creek Pediatrics
11247, Jordan's Place Pediatrics
11254, MD for Men
11256, WESTERN CAROLINA DIGESTIVE CONSULTANTS, P.A.
11258, Clinica La Victoria, A Medical Corp
11259, Dennis A. Sparks, MD, INC
11261, Family First Primary Care PLLC
11269, Peter T. Anastassiou, M.D.
11271, Columbia Medical Clinic, PC
11275, Dr. Mark Scheinberg
11277, Senior Care Medical Associates
11280, Turtle Mountain Family Medicine
11282, Lily J Voepel Md
11284, Faith Community Hospital
11285, After Hour Pediatrics
11287, Athena
11291, POP Practice 1A
11295, DeBrady Medical Associates
11298, Doctors of Compassionate Services
11307, Foot and Ankle Specialists of New Jersey
11309, Abundant Health Family Medicine
11313, Family and Community Medicine
11315, R. Scott Kobylar, MD.
11318, Cahaba Podiatry, Inc
11327, Winnsboro Internal Medicine
11329, Quad Cities Foot and Ankle Associates
11331, Access Health Louisiana
11333, Venus Women's Health
11335, 
11337, Aaron Margulies MD
11338, Jack C. Askins, MD
11340, Surgical Associates of North Texas
11347, Cahaba Medical Care
11356, Horizon Health
11357, Physician Healthcare Network
11359, Dr. Mansell's Pain Clinic
11365, Omni Medical Center
11367, Midwest Neurology PC
11369, Algiers Pediatrics, LLC
11372, Memorial Hospital of Carbon County
11373, Delta Orthopedics
11377, Amin Radparvar MD
11381, Instant Urgent Care
11384, City Pain Management
11389, John D Holloway MD
11390, Meera Kodityal, MD
11393, OrthoLouisiana
11395, Asheville Gynecology & Wellness
11397, Heart City Health Center
11398, Ophthalmology of Montclair, LLC
11400, Riverside Podiatry, PC
11401, Anees Ahsan MD
11402, Family Practice Associates of Sprin
11410, Stanley M Cole MD
11411, CHAS Health
11413, Tampa Orthopedic Clinic
11415, Turner Family Medicine
11416, Wichita Endocrinology, LLC
11417, Texas Sleep Medicine
11418, F.W. Huston Medical Center
11425, Hongbo Liu, MD, PA
11426, Mercy Clinic
11427, Princeton Nassau Pediatrics
11434, New Braunfels Christian Ministries
11436, athenaHealth Client Devices
11440, PEDIATRIC CARE GROUP, P.C.
11442, Ageless Institute
11443, DownEast OB GYN
11447, Rudolph Antoncic III MD PC
11453, Salud Pediatrics
11460, Dr. Swaraj Bose
11461, Eastern Shore Heart Center
11462, Monterey Bay G.I. Consultants Medical Group, Inc.
11463, 
11472, Marga F Massey MD
11475, Irving Coppell Primary care doctors
11476, Riverchase Dermatology and Cosmetic Surgery
11485, Farmington Family Practice
11486, Lemoyne Primary Care, P.C.
11487, Hacker, Hopple, Grossman and Wenzke
11488, Dr. Donna L. Bacon
11497, Mountaineer Community Health Center
11499, Generations Family Medical Clinic
11501, Legends Medical Clinic
11502, CommuniHealth Services
11503, Anthem Pain Management
11508, Weaver Family Medicine
11513, DiamondBack Pain, PA
11515, Medcorps Asthma and Pulmonary Specialists
11518, Lifestyle Medicine Center LLC
11523, Dr. Fredric C. Puckett, PLLC
11532, Advanced Cardiovascular Care
11534, Northwest Medical Associates of Chi
11535, North Shore Vascular Surgery PC
11536, Pricare PA
11544, Fulshear Foot and Ankle
11546, Meridian Pain Group
11548, The Doctors Clinic
11549, LifeLink Medical Group PLLC
11551, Tael Laser Center
11552, Orthopedic Medicine of Alexandria,
11555, Unique Health and Wellness
11560, Wilmington Surgical Associates, P.A
11561, Miami Medical Consultants, P.A.
11568, Drs. James and Kelly Hoye - Partners in Family Care
11569, Texas Nephrology & Hypertension Specialists
11573, State Urgent Care, LLC
11574, Randolph Community Clinic
11575, Rocky Mountain Women's Care
11577, Leila C Morris MD
11580, Shifa Clinic
11581, Frisco Hand Center
11583, Robert M Pfoff MD
11587, Dr Jon's Urgent Care Center
11590, Riverbend Family Medicine PC
11592, Nephrology Associates of South Miam
11598, Carmine J De Fusco MD
11600, New Day OB GYN
11606, Stephen A Irwin MD PLLC
11607, Bradenton Pain & Wellness Center
11611, Lloyd Podiatry Group
11614, Seattle Integrative Oncology
11618, Millare Healthcare SC
11619, Medical Center Barbour
11623, Endocrinology Consultants
11624, Optimum Physical Therapy
11625, Arizona Kidney Disease and Hypertension Centers
11626, Suncoast Vascular and General Surgery
11628, Premier Foot & Ankle Surgeons
11638, Francis Mase MD PA
11639, Gaertner Psyhciatric, PC
11641, Karen Gade-Pulido MD
11643, New Jersey Urologic Institute, P.A.
11644, Rose Women's Health
11652, Elliot A. Grossman, MD
11657, Gulfcoast Medical Housecalls
11658, Mountain Community Health Partnership
11661, Mary Bachko
11664, Treasured Pediatric Care
11665, Regis Neighborhood Health
11668, Major Medical, LLC
11671, Switzerland County Nurse Managed Clinic
11673, Lapeer Women's Health
11675, Remedy Health
11676, Central Florida Orthopaedic Surgery
11678, Indus Medical Associates
11680, VIDA PEDIATRICS LTD
11682, AFFINITY MEDICAL
11684, Doughty Podiatry PA
11689, Christopher W. Chu MD
11694, Orthopaedic Associates of Osceola
11700, Clare Medical of New Jersey
11701, LYDIA B. ESTANISLAO, MD
11703, Premier Health and Wellness Group,
11704, Primary Care Physicians Center
11705, International Pediatrics Clinic
11706, Next Generation Orthopedic & Spine
11714, Twin Oaks Urgent Care
11715, Lufkin Adult Medicine Clinic, P.A.
11718, Cardinal Chiropractic
11721, Mountainlands Community Health Center
11727, Thompson GYN
11728, Primary Physicians of Austin, P.A.
11729, Associated Pulmonologists of Western Connecticut
11733, Specialized Podiatry
11734, Hazlet Medical Services
11737, Desert Sand Medical Office
11744, Davuluri Childrens Clinic
11745, Jil Medical Consultancy Ltd.
11746, Olson Professional Counseling Servi
11747, Heritage Health Center
11750, Hafeez U Rehman MD
11752, Anita C. Vaughn, MD
11754, James J Gomez MD
11755, DeKalb OB/GYN Affiliates LLC
11756, Center For Pain Care
11757, Family Healthcare of Loranger
11758, Matthews Internal Medicine
11759, Down East Medical Center
11760, Francisco Rodriguez & Associates MD
11763, Centro Medico Del Carmen, A Medical
11764, South Central Ohio OB/GYN
11765, Ohio Pulmonary and Sleep Physicians
11766, Michael Skyhar, MD
11767, Robert Stokes MD PLC
11769, Nevada Kidney Disease & Hypertension Centers
11774, Laurel Pediatrics and Teen Medical Center
11775, Grover Clinic
11776, Sarabjit S Anand MD PA
11777, Convenient Care Medical Clinic, LLC
11779, Basel Yanes, Inc. dba Dayton Blood
11782, Pediatric Partners
11783, Danvers Family Doctors, P.C.
11786, Texas Premier Obgyn Center
11789, Flanders Pediatrics
11790, CAREPLUS MEDICAL, INC
11792, Harrogate Health Group
11795, Women's Health Specialists
11796, Lifesprings Women's Healthcare, LLC
11797, Kenneth G. Cesa, DPM
11799, Carolina GI Associates, PC
11800, Clancy Medical Group
11802, Brunswick Family Medicine
11803, New Concepts II
11806, Midcoast Medicine & Wellness
11808, Southern Vascular Clinic
11809, Rice Planter Pediatrics
11813, Boston Sports Med.
11816, Gritman Medical Center
11818, Circle The City, an Arizona Non-Profit
11819, Family First Wellness
11820, Ventura Pulmonary Crit Care
11826, Justin Alexander, MD
11827, Family Medical Care of Mount Dora
11828, Hazleton Eye Center, Inc.
11836, Anita L Henderson MD
11837, Thomas A Digeronimo MD & Assocs
11842, Dr Tan Women's Health Clinic, PA
11843, Ormond Internal Medicine
11845, Spine & Brain Neurosurgery Center,
11847, Palmetto Nephrology PA
11849, Advanced Internal Medicine
11850, Monmouth Arthritis & Osteoporosis
11851, Shore Atlantic Geriatrics LLC
11852, Dr. Ajay K Joshi
11853, Podiatry Center of New Jersey, LLC
11854, Appalachian Family Practice
11855, Greenwich Pediatric Associates
11856, Family Health Center of Plainfield
11860, Dr. Deb's Center for Child and Family Development
11867, Podiatric Associates
11869, Pediatric Group
11873, Dermatology Care Center
11874, Lumina Women's Care - Dr. Patricia Pavel
11879, Aaron K Clark MD PC
11881, Plantation Pediatrics
11883, Prime Medical Group
11884, Florida Pain Management
11885, Huron Clinic
11886, Specialty and Primary Care
11888, Achieve Health
11889, Center for Health and Cancer Prevention
11892, Sierra Foot and Ankle Center
11894, LOST RIVERS FFS
11895, Peach State Women's Healthcare
11896, William R Bond Jr MD LLC
11898, PALM Health
11901, LOUISBURG FAMILY PRACTICE AND PAIN
11903, Esperanza Health Centers
11904, Franklin County Volunteers In Medicine Clinic
11906, Cota Medical Management Group INC.
11915, Ocean Health Initiatives, Inc. (OHI)
11916, Total Healthcare Associates, LLC
11917, NewYork-Presbyterian Medical Group
11918, Meaghan DiLallo
11920, Southern California Food Allergy Institute
11921, Valley OBGYN
11922, Amana Care
11925, Elite Kidney Care, LLC
11926, Dr. Anika T Whitfield
11932, Orthopedic Institute of Rio Grande Valley
11933, Medical Specialists of the Palm Beaches
11937, MDVIP Master
11938, Mt. Grant General Hospital
11943, W. Thomas Thompson
11947, SYNAPTRX SLEEP PLLC
11949, I Clinic P.A.
11950, Meritra Clinics LLC
11952, East West Integrative Health Clinic
11954, Pinecroft OBGYN
11956, Centro Hispano Urgencias Medicas
11957, One Palos Medical Center
11959, Estero Island Medical Care
11960, FOOT HEALTHCARE ASSOCIATES, P.C.
11961, My Bremen Medical Center
11964, Saint Christopher
11968, Southeastern Neurosurgical Specialists
11969, AM Geriatrics AND Medical Clinic
11974, Kinston Head & Neck Physicians
11975, LliBott Consultorios Medicos
11979, Tularosa Clinics, Inc.
11981, Comprehensive Medical Care Services of Eastern North Carolina
11982, Quality Patient Care, LLC
11985, Logan County Hospital
11987, Straith Hospital
11988, East Carroll Parish Hospital
11990, SUKANYA BURUGU MD DBA PRIMARY CARE
11991, Paradigm Healthcare PC
11998, NY Orthopedics
12000, A. Vicki Rickerson M.D.
12001, Pediatric Clinic LLC
12004, Port Orange Pediatrics PA
12006, Sacred Heart Mercy Health Care
12010, Shivam Medical Group
12011, J. Shan Young , MD
12014, Peak Health and Wellness
12018, Dr Lee Freedman
12019, Healthy Woman OB/GYN
12020, Tennessee Pediatrics
12022, ORTHOPEDIC SURGERY & SPORTS MEDICINE
12023, Sean Kelley MD
12026, Innovative Dermatology and Mohs Surgery
12028, Rager Adolescent Health
12030, Broussard Family Practice, PLLC
12033, Shelburne Pediatrics, Inc.
12036, Barnard Medical Center
12040, Diamond Vision Institute
12041, JAMES C LEE DPM
12042, PARK CITY GYNECOLOGY
12044, Greenwood County Hospital
12049, Dr. Nikolaj Wolfson
12052, Lake Immediate Care
12054, Signature Psychiatry Associates Inc
12056, H & B QMC
12062, Blue Valley Surgical Associates
12063, Angeles Health Center
12069, Kare Family Clinic, PA
12070, Eugene Usberghi Jr DO
12072, Axtell Clinic
12074, Kreptowski Family Practice
12075, James McGrath, M.D., PLLC
12076, Dawn Porter MD
12077, Foothill Pediatric and Adolescent Clinic
12078, MDVIP - Sandra Gail Sattin, M.D.
12082, Personalized Healthcare of Scottsda
12083, Bruce Lowell MD
12084, THE BAILEY MEDICAL GROUP
12088, Robert L. Schubert, M.D.
12089, Baystate ObGyn Group Inc.
12090, Waterboro Village Pediatrics
12091, Roberta J Guibord DO
12094, Pulmonary & Digestive Clinic
12096, Vernon Clinic
12099, Family Medicine PC
12100, S.A.S. OBGYN, LLC
12101, M Elaine Krosse DPM
12102, Valley Family Medicine
12104, Wm Terry Gipson, MD - MDVIP
12105, Associated Kidney Specialists
12106, Frank Landry, MD
12107, Tri-State Private Practice
12109, Integrative Wellness Center PLLC
12112, Rose City Pediatrics
12113, Serio, Thomas
12114, Dr. Michael Zang
12117, Acadiana After Hours
12120, Regence Health Network
12124, Monterey Park Medical Center
12125, Central Florida Health Care
12126, Michele Leder MD
12129, Liberty Pain Associates
12134, In2it Medical
12138, Ramann Nallamala, MD
12139, Leland Allen, MD
12141, Neurology Solutions Consultants, P.A
12142, Hope Clinic
12145, Pendleton Family Care
12146, Thomas County Health Department
12147, Balance Integrative Health & Wellness
12149, NOELA Community Health Center
12153, Omaha Pain Physicians
12157, CHARLES L BATSON MD
12158, CardioSolution Physicians
12159, Esprit Health Clinic
12161, Associates In Dermatology
12163, SILVERGATE MEDICAL
12164, Dr. Richard J Hart Jr. MD and Dr. Michael Hattwick MD
12166, Greystone Family Medicine, P.C.
12167, Vein and Laser Institute
12169, Nebraska Pain Management
12172, Northwest Florida ENT
12173, VR Allergy & Asthma Care
12175, Alpharetta Roswell Family Practice
12176, Boston ENT Associates
12178, Gerald Kovar, MD
12179, Nanticoke Cardiology
12181, SOUTH CENTRAL KANSAS CLINIC, LLC
12186, Vitae Integrative Medical Center
12187, Seattle Natural Family & Sports Med
12189, Apollo Healthcare Associates
12193, Steven D. Lampinen, M.D.
12194, MDVIP - STEVEN BILLET, M.D.
12201, Fred E Santoro MD
12202, Knight Dermatology Institute
12203, Shadyside Clinic
12204, Optimal Wellness Clinic
12205, MDVIP - Advanced Internal Medicine
12211, Genevieve Belgrave, MD PA
12213, Heart and Sleep Clinics of America
12214, Metroplex Pediatrics
12215, Palliative Care of North Texas
12216, Madison Primary Care
12217, Durrani MD & Associates
12219, MDVIP - Christine Franden MD, PLLC
12221, The Ankle and Foot Center
12222, Penny Pediatrics
12223, Cardiovascular Specialists of Germantown, LLC
12224, Dr. Sachdev
12226, LIFECARE PODIATRY
12231, Family Birth and Women's Health
12232, ADOC Medical Center
12233, Levin Family Practice
12246, King's Clinic and Urgent Care Gastonia
12248, Regina B Portnova MD
12249, Dr. Vivek Mangla MD PC
12251, Open Arms Health Clinic
12253, Tennessee Valley Internal Medicine
12258, MESA MEDICAL SERVICES
12259, Virginia Surgical Care Center PC
12260, Patricia Estrada, MD
12262, 3D Sports Medicine and Orthopaedic Center
12264, Pulmonary Health Consultants
12266, Calvert Orthopedic Sports Medicine
12267, Shannon Mize, MD
12269, Point Loma Pediatrics
12270, Emanuel Dozier MD
12272, Dr. Alicia R. Guidone, DPM
12273, Five Journeys, P.C.
12278, Penner, Dennis
12280, Columbus Pediatrics GA
12282, Diabetes Clinic of the Coast
12284, Advanced Medical of Florida
12286, Disc Comfort
12293, MONROE PHYSICIAN MANAGEMENT LLC
12294, GEORGIA PHYSICIAN MANAGEMENT LLC
12295, Southward Family Medicine
12297, Kay May Kwok, MD
12299, Branch Pediatric & Adolescent Medicine PC
12301, Jeung C. Yoo, MD
12305, ALBERT MARLAND, MD
12308, Maine Coast Hand and Shoulder
12309, Steven Pappas, M.D.
12312, Spine Specialists of Louisiana, LLC
12313, Consultative Gastroenterology
12316, Dr. Jeff Wilkins M.D.
12318, Mark C Nitzberg MD PC
12320, Richard L. Isaacson D.P.M.
12321, Talbert House
12322, Eastern Pulmonary & Sleep Medicine
12324, InclusivCare
12325, Clinical Bridges PLLC
12326, Joyce D Johnson MD
12327, Robert A. Weiss MD, PA
12328, Monroe Pediatrics
12329, Atlanta West Primary Care
12335, Lovely Foot Associates PC
12336, PLLC, Just for Kids Pediatrics
12349, IMAN HEALTH CLINIC
12354, Sandwich Pediatrics
12357, Tulsa OBGYN Associates, Inc.
12358, The Center for Internal and Integrative Medicine
12360, SOUTHSIDE OB-GYN
12362, Sastun Family Medicine
12364, Arnett Medical, LLC
12366, Dr. Trina Kapoor Frankel
12367, Lata T Bansal MD
12373, Christ Health Center
12375, Randall Maxey, Corporation
12377, Rebirth ObGyn
12379, Ballentine Pediatrics
12380, Saint Lucie Family Doctor
12384, Medical Clinic of Bellaire
12389, Randy B Cronic MD
12394, My Flushing Medical Home
12395, Tooele Valley Urgent Care
12396, West Virginia Health Right
12400, Baptist Community Health Services
12401, City of Portland Maine, Public Heal
12404, Bee Well Pediatrics LLC
12405, Jonathon G Dewald MD
12406, Nicholas Cassis Jr. MD
12407, Inscriptions Children's Clinic
12412, The C.W. Williams Community Health
12417, Corrales Family Practice
12423, CoordiCare
12424, Midwest Heart and Vein Center
12425, STONEBRIDGE FOOT AND ANKLE, PLLC.
12428, Michele Y. Yoon, M.D., PLLC
